Blog	hard	ago	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	minutes	start	already	bad	everything	past	school	myself	wanted	show	maybe	later	hope	half	far	its	th	able	couple	along	side	anything	white	doesn	dinner	tell	remember	trying	red	hot	finally	kids	book	decided	might	must	working	probably	between	favorite	hand	nothing	kind	coming	eat	weeks	enjoy	free	cool	beautiful	someone	sunday	yesterday	stuff	soon	picture	oh	less	point	seems	live	add	saw	ready	won	large	head	man	under	name	second	sweet	real	easy	early	comes	months	summer	birthday	trip	taking	green	idea	pictures	watch	outside	yes	especially	story	told	person	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	friday	sometimes	month	black	hour	wasn	fact	perfect	believe	mom	fresh	buy	lots	play	visit	bring	wait	check	weather	cup	lunch	needed	store	however	stop	several	four	cut	children	reading	run	front	recipe	thinking	looks	turn	special	late	bought	local	rather	isn	party	thanks	close	goes	guess	car	taken	cream	wonderful	gave	money	usually	either	share	living	line	ones	asked	sugar	short	others	warm	tried	looked	case	girl	baby	list	job	stay	turned	tomorrow	evening	simple	couldn	change	city	season	heart	haven	anyone	mother	face	means	walk	bed	area	order	young	kitchen	thank	amazing	monday	chocolate	cheese	interesting	loved	fine	town	spring	anyway	table	above	mean	please	christmas	taste	become	inside	feeling	tonight	felt	butter	c	talk	gone	care	reason	eating	behind	fall	knew	heat	etc	gets	heard	ask	brought	seem	books	worth	lost	although	group	cake	across	playing	cook	five	busy	chicken	coffee	boy	photo	watching	paper	amp	perhaps	oil	country	true	given	bread	ice	important	music	ok	spend	st	bowl	nbsp	meal	movie	ground	winter	number	salt	known	sun	door	sister	style	including	afternoon	extra	god	mix	word	cooking	dry	longer	wish	piece	milk	cute	words	dark	experience	low	huge	guy	air	clean	worked	hear	enjoyed	rain	write	sit	works	pick	com	blue	quickly	move	wine	box	brown	bag	talking	waiting	class	eyes	running	plan	woman	fruit	eggs	news	delicious	hands	near	tree	garden	plus	american	baking	office	pieces	finished	drink	company	age	size	sitting	sort	gift	kept	middle	note	e	sleep	cover	photos	wrong	mine	game	child	lovely	added	excited	wouldn	street	dad	restaurant	pm	needs	miss	egg	takes	except	ingredients	state	cups	hit	simply	business	type	break	flour	husband	drive	future	church	learn	parents	snow	minute	says	fast	quick	due	sauce	oven	breakfast	forward	park	learned	lives	certainly	moment	serve	recently	following	completely	shopping	glass	road	matter	color	dish	seeing	moved	problem	pepper	center	b	wonder	sense	phone	met	salad	available	non	happened	pan	whatever	leaves	deal	space	girls	view	men	body	stand	holiday	song	seemed	history	picked	saying	understand	art	bottom	mixture	super	possible	form	played	places	p	shop	women	single	pay	amount	giving	site	rice	process	french	crazy	boys	below	bake	event	meet	finish	price	garlic	watched	starting	main	against	walking	tea	funny	hold	chance	recipes	writing	project	served	six	market	x	soup	juice
Wee Kitchen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
somewhere in time	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Sweet E's Kitchen	0	5	6	14	4	3	10	3	2	1	2	3	0	3	6	8	6	3	4	3	4	0	1	2	6	1	2	4	8	1	1	10	1	1	4	9	2	3	1	19	4	2	0	9	14	8	0	1	2	0	8	1	2	2	12	1	0	3	0	9	3	7	5	2	6	1	1	0	4	2	0	1	4	2	1	3	7	0	4	5	5	0	2	6	1	3	16	2	1	1	1	3	6	8	5	1	5	3	1	1	1	3	4	0	1	1	3	0	6	2	3	1	0	2	1	1	4	1	2	1	3	1	6	9	5	6	4	17	0	0	13	2	1	0	3	0	3	2	2	0	2	2	1	9	2	0	3	1	0	0	2	1	10	1	1	2	7	3	3	2	0	1	11	8	0	1	2	0	2	11	1	0	0	2	2	5	1	7	2	0	3	2	0	9	3	1	3	1	0	7	0	3	2	0	2	7	2	1	3	2	3	2	0	0	2	2	0	2	0	6	1	4	2	1	0	10	32	1	3	6	5	3	0	12	2	2	7	0	5	1	0	0	2	3	14	5	0	0	0	1	5	1	5	3	7	0	0	1	1	3	0	0	4	1	1	6	5	0	0	6	2	0	6	4	0	3	2	1	4	1	10	2	1	1	0	4	2	1	0	0	0	3	2	14	0	2	1	1	7	3	3	4	0	7	0	6	5	0	2	0	6	1	0	0	1	2	0	1	2	3	2	0	0	0	0	2	0	8	0	1	1	1	0	1	1	3	0	13	1	6	0	0	0	0	2	1	2	0	5	20	1	7	1	1	0	0	3	2	0	0	2	6	4	2	1	0	0	0	1	3	0	1	5	1	1	1	3	3	3	0	5	1	1	0	5	8	15	0	2	0	9	1	0	8	0	0	5	0	3	1	1	4	0	0	1	0	0	6	0	2	0	3	7	3	18	4	4	3	2	0	2	2	1	4	0	3	2	3	2	0	0	1	11	2	0	1	13	2	3	1	0	0	2	8	2	1	0	7	1	0	1	1	2	2	0	0	2	3	0	1	0	1	0	0	4	4	2	0	0	0	0	3	1	1	0	3	0	0	1	1	2	2	3	0	1	2	3	7	1	3	2	6	0	1	2	1	0	1	0	1	0	2	3	0	13	1	2	0	1	3
The Feldman Files	2	1	3	1	4	3	3	2	0	3	1	1	0	15	5	0	1	1	0	6	15	2	1	5	0	0	1	6	0	1	0	1	4	4	0	4	1	0	0	2	1	0	4	0	0	1	3	3	8	3	0	2	2	1	2	8	1	0	1	0	4	3	1	1	0	2	0	3	2	0	1	4	2	0	0	0	0	1	1	0	0	0	1	1	0	1	3	0	0	0	1	5	0	8	1	0	0	1	2	2	3	1	0	0	2	2	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	2	0	0	2	2	2	0	2	0	0	2	2	3	2	0	2	3	0	1	1	1	0	2	0	0	0	0	0	1	0	0	0	1	3	3	1	3	0	1	0	2	2	0	1	5	1	0	0	6	2	0	1	0	1	1	2	0	2	0	1	0	0	2	1	0	1	7	0	0	1	1	0	2	0	1	1	0	0	0	1	3	0	1	0	6	2	0	2	0	0	6	2	0	0	0	1	1	0	0	0	0	1	2	2	0	2	0	0	0	0	2	2	0	0	0	1	0	0	3	1	0	1	0	0	3	1	1	1	0	2	1	0	0	0	1	2	1	0	0	2	0	0	6	0	3	1	0	0	0	0	0	0	0	1	0	0	5	0	4	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	4	2	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	4	0	0	3	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	2	1	1	0	3	1	0	1	1	1	2	0	0	0	0	1	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	2	3	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	4	0	0	7	0	2	2	1	0	0	0	0	0	0	0	0	0
Noted	2	1	1	1	1	1	0	1	1	2	4	3	0	1	1	0	0	0	1	7	2	3	2	2	1	3	1	5	3	2	3	3	0	0	2	0	0	0	2	1	1	9	3	0	1	2	2	5	5	1	1	1	0	3	1	3	0	1	1	2	1	2	1	0	0	2	2	0	0	1	4	4	2	3	0	3	1	1	2	1	0	1	5	1	4	6	0	0	0	2	1	4	1	0	0	3	0	0	0	1	1	7	1	2	0	3	1	1	3	0	5	0	1	0	5	1	1	1	1	2	0	0	1	0	0	3	3	0	14	1	1	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	1	1	3	0	1	0	0	2	2	1	0	1	0	1	1	0	2	4	2	2	2	1	1	1	0	2	2	1	0	0	3	1	0	4	0	3	6	0	0	0	0	0	1	0	1	0	2	1	1	2	1	0	2	0	2	4	1	0	2	2	2	2	1	2	1	1	3	1	1	0	0	0	0	0	0	0	2	0	1	1	10	0	0	2	1	3	3	5	0	0	0	1	6	3	2	0	1	3	1	1	0	0	3	0	1	1	0	1	2	0	1	2	1	0	0	0	0	0	0	1	1	0	0	2	0	0	5	2	1	0	1	2	1	0	1	0	0	0	0	3	0	2	3	0	0	0	5	0	1	0	0	21	0	3	0	0	2	0	0	0	0	5	1	1	0	0	1	2	1	1	2	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	1	1	1	1	0	0	0	5	0	1	1	1	0	0	3	1	1	1	0	1	2	1	1	3	0	3	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	22	1	3	0	5	0	1	1	1	0	0	0	5	0	2	1	0	8	4	1	1	1	0	0	0	2	1	0	0	1	0	0	0	1	0	5	2	1	0	1	0	0	0	2	0	1	0	0	0	2	2	1	0	0	0	1	0	5	2	0	0	0	0	1	1	0	0	0	0	2	1	3	0	3	2	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	2	0	0	3	0	0	0	0	0	3	0	0	1	0
Notes from the Innkeeper	1	1	1	2	3	1	4	2	3	0	3	2	1	3	8	1	1	1	1	2	0	0	0	2	0	1	1	3	1	1	2	3	2	2	2	0	0	1	2	1	4	0	4	4	2	0	1	5	0	2	1	0	1	0	3	2	0	0	1	0	0	4	4	5	4	0	0	0	0	6	0	2	0	0	0	1	1	0	1	2	2	0	1	0	3	2	0	3	0	3	3	0	2	1	3	0	4	0	0	0	0	3	2	1	0	2	2	3	1	2	1	0	1	0	0	2	1	4	1	2	0	2	4	1	0	0	3	2	1	0	0	1	2	1	9	1	0	9	3	0	0	0	1	2	2	0	2	3	1	0	3	1	0	2	1	0	8	1	0	3	1	2	1	0	1	0	1	0	0	1	2	0	1	2	2	5	1	1	0	0	2	0	1	1	0	0	2	0	0	2	0	9	0	0	1	4	1	1	1	3	1	1	0	3	1	3	0	5	0	0	0	0	1	1	1	0	4	0	1	0	1	1	1	0	0	2	6	0	1	0	0	0	0	0	0	0	1	0	0	0	2	3	2	0	3	0	0	2	4	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	15	5	0	0	0	2	0	3	3	3	0	0	2	0	1	4	0	1	1	0	1	1	1	0	6	0	0	0	2	0	0	0	0	0	0	0	1	1	3	0	2	3	1	0	0	0	0	4	0	1	0	2	12	1	1	0	33	1	1	0	1	1	1	0	2	2	0	9	0	0	1	0	3	0	1	1	0	0	1	3	0	0	0	0	0	0	0	2	0	0	3	1	0	0	1	1	1	0	0	1	1	1	1	0	0	1	0	3	0	2	0	1	1	0	0	0	0	4	1	0	0	0	0	2	1	2	1	0	0	7	0	3	0	2	0	7	3	0	0	0	2	0	1	2	1	0	1	2	1	0	1	0	3	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	3	0	0	4	0	0	0	1	0	0	1	1	1	0	0	1	0	1	5	0	1	0	0	0	3	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	3
Blogston, Mass	1	0	3	2	1	0	1	1	2	3	0	0	2	0	0	2	2	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	3	4	3	0	1	8	1	1	0	2	3	3	1	0	1	1	0	1	4	0	0	0	0	0	2	0	0	0	3	1	0	0	3	0	4	3	0	4	1	2	0	3	0	2	1	1	0	0	0	0	2	6	2	1	0	2	0	0	2	1	1	1	0	0	3	1	0	3	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	1	0	4	0	6	0	0	0	0	0	1	1	0	0	1	1	0	0	1	4	0	0	0	1	1	0	1	1	3	2	0	1	0	0	0	0	0	0	0	2	4	1	0	2	1	0	2	2	1	3	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	1	1	0	2	0	1	0	3	0	0	0	1	0	0	0	2	0	4	2	0	0	0	6	1	0	0	2	0	1	3	0	1	0	0	1	0	3	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	3	0	1	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	1	1	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	4	0	1	2	0	0	0	1	0	3	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	2	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	2	0	0	0	2	0	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0
Whalen's Wacky & Wonderful World	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	3	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	2	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Nut-Free Mom Blog	2	1	3	1	6	5	7	2	2	4	5	4	4	8	1	1	3	4	7	3	2	23	4	3	7	8	2	7	1	4	7	2	2	0	2	1	3	1	7	1	7	2	3	1	2	2	31	4	2	4	1	4	2	1	1	1	2	7	1	11	0	1	53	2	0	5	0	1	5	6	0	3	1	2	2	2	3	0	1	5	3	1	0	1	0	0	1	0	4	2	0	0	0	13	0	7	0	7	0	2	0	3	7	1	3	2	0	1	1	0	2	0	2	2	3	1	1	2	3	0	0	10	1	0	0	0	3	1	1	17	0	4	4	3	1	4	1	3	1	1	4	0	1	4	0	4	1	0	8	2	0	0	2	5	4	5	7	1	0	1	0	2	8	5	0	4	0	0	0	2	3	1	0	2	3	3	11	4	2	4	2	2	5	0	1	0	4	1	1	4	4	4	2	1	0	1	2	2	1	2	1	1	7	2	4	2	2	0	1	5	6	7	8	1	0	2	1	0	0	0	0	2	0	19	2	6	7	0	0	4	0	0	0	5	17	0	4	1	2	0	9	1	2	0	0	5	3	6	7	5	1	1	1	0	0	2	7	3	2	2	0	7	0	1	1	1	1	0	11	0	0	4	3	2	3	2	3	4	5	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	6	0	1	0	1	0	0	0	1	2	3	6	0	1	0	4	3	0	1	2	2	1	8	0	0	1	7	1	0	1	1	3	4	0	1	0	2	5	0	7	0	1	4	1	0	5	0	1	3	3	3	0	1	5	10	2	0	0	0	0	2	0	1	2	0	0	0	2	3	0	0	0	2	0	1	28	0	0	3	4	1	1	16	0	3	6	5	2	1	1	0	0	2	0	1	2	1	0	4	0	5	0	2	14	0	1	3	0	0	3	0	0	0	1	0	4	1	3	2	2	7	1	3	0	0	0	6	0	0	0	3	2	0	0	1	4	0	1	0	0	5	7	0	0	3	0	1	1	4	2	0	1	0	5	5	1	0	0	1	0	0	1	0	0	2	0	0	4	0	0	0	2	0	1	3	4	1	1	0	2	0	0	4	1	3	0	0	0	1	1	0	1	0	0	2	0	0	6	1	0	1	0	1	0	0	0
Spear Stuff	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
The Sunny Raw Kitchen	14	4	0	26	22	33	7	12	11	15	13	18	2	8	6	13	21	21	4	23	3	7	10	8	2	7	6	2	23	10	25	0	7	28	20	11	9	5	15	10	5	10	4	26	7	6	2	18	10	13	5	12	11	5	31	8	6	3	12	29	3	23	17	2	18	10	0	4	9	6	3	16	21	14	6	20	76	3	23	7	29	5	5	6	5	3	17	11	19	5	16	13	9	0	4	8	105	13	2	0	2	3	7	3	11	9	6	26	12	0	10	5	6	13	12	7	21	10	12	12	0	9	3	9	16	6	27	17	8	1	61	1	15	7	5	4	6	12	1	195	3	6	5	19	4	11	3	23	5	5	5	2	95	2	14	17	3	2	0	2	9	6	5	6	8	6	4	1	5	74	11	2	0	13	4	14	20	7	6	5	1	5	4	8	15	2	12	1	7	13	2	10	11	2	8	30	14	7	0	10	2	10	1	3	1	2	9	4	1	11	10	34	1	10	0	69	33	5	3	13	0	18	9	5	5	11	4	1	49	11	4	5	0	11	19	36	26	4	7	7	25	5	4	8	2	2	2	3	3	1	5	2	4	1	17	0	15	2	4	2	1	3	1	7	4	10	2	6	28	9	77	0	5	6	62	8	5	0	5	2	0	25	86	23	0	14	12	4	63	7	29	2	4	4	14	3	5	2	17	0	4	15	11	1	11	13	0	4	3	8	5	4	4	10	2	2	1	8	0	1	7	10	5	3	0	13	6	0	1	5	4	5	3	4	3	1	2	0	12	0	3	32	7	1	1	5	7	1	2	1	20	8	1	3	1	4	1	8	0	3	3	8	6	1	3	8	3	6	0	0	2	8	5	7	0	3	0	0	4	0	6	3	7	59	1	60	5	15	1	7	5	7	2	1	2	0	4	0	3	3	9	6	7	2	56	4	4	2	0	8	3	3	4	19	9	9	9	2	6	1	3	5	4	3	0	2	17	3	1	3	3	2	0	70	7	5	2	23	11	15	2	0	1	3	1	16	1	8	0	1	1	3	5	1	13	14	37	4	9	25	3	0	2	0	0	4	2	4	3	6	11	32	3	1	0	2	0	1	5	3	3	65	0	8	8	2	1	0	1	6	2	72	2	0	8	1	1	1	43	60
Coffee with the Hermit	3	2	1	1	1	8	6	7	1	4	2	0	5	1	1	0	8	1	7	1	0	0	3	2	1	4	3	1	0	1	0	0	1	3	1	0	2	0	1	0	3	0	2	0	1	0	1	4	4	2	2	4	2	0	4	1	2	1	5	1	1	4	3	0	2	5	6	5	1	5	0	1	0	0	13	3	0	1	0	2	1	1	4	0	0	0	0	3	0	2	3	0	0	5	1	0	0	2	0	2	1	0	2	3	1	1	4	0	0	4	3	3	1	0	6	0	3	2	0	0	3	1	1	0	0	2	4	3	3	5	11	0	0	3	2	2	2	0	4	12	0	0	5	0	0	0	0	1	0	5	2	0	2	2	1	1	0	2	0	1	0	1	0	3	1	1	6	0	1	0	1	0	7	2	0	2	2	1	2	0	0	0	2	3	4	0	2	0	2	0	0	1	2	2	0	1	3	5	4	4	0	1	3	4	0	3	0	1	0	0	0	2	1	1	4	0	0	1	0	0	0	1	2	0	0	3	0	5	1	0	0	0	1	0	2	1	1	2	2	4	2	2	2	0	0	0	2	1	5	0	8	4	2	0	0	1	0	2	1	0	0	1	0	40	0	0	3	2	0	0	0	4	2	0	1	0	0	6	2	2	0	0	0	0	0	0	2	0	0	0	1	2	2	0	0	2	3	2	0	0	0	0	0	3	0	1	1	1	1	0	0	0	1	0	0	1	0	0	9	0	2	1	0	2	1	1	4	0	0	0	0	1	0	1	3	1	2	0	0	0	0	0	0	0	2	1	0	0	2	0	0	1	1	0	2	0	2	3	0	0	1	0	0	1	0	1	0	2	1	0	0	0	0	0	3	0	0	0	1	2	0	1	1	0	1	6	1	0	3	2	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	2	1	0	0	0	1	3	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	4	0	0	0	0	0	3	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	1	0	1	0	2	0	0	0	0	0	0	3	0	2	2	2	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0
