Blog	ago	hard	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	start	minutes	already	bad	past	school	everything	myself	show	wanted	later	hope	half	maybe	far	its	able	th	couple	along	anything	doesn	white	dinner	tell	side	remember	trying	red	hot	finally	kids	book	might	must	decided	working	probably	between	favorite	nothing	hand	kind	coming	weeks	eat	enjoy	cool	free	beautiful	someone	yesterday	sunday	stuff	soon	oh	picture	less	point	seems	live	add	ready	saw	large	head	won	man	under	second	name	sweet	real	early	birthday	easy	comes	months	summer	green	trip	taking	idea	pictures	outside	watch	yes	told	especially	person	story	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	month	friday	black	hour	sometimes	wasn	fact	believe	perfect	fresh	mom	buy	lots	play	visit	bring	check	wait	lunch	cup	weather	store	needed	however	stop	several	four	cut	children	run	reading	recipe	front	thinking	looks	turn	late	special	bought	rather	local	party	isn	close	thanks	guess	goes	car	taken	wonderful	cream	money	gave	usually	either	line	living	share	ones	asked	sugar	short	others	tried	warm	looked	baby	case	girl	job	list	stay	evening	turned	tomorrow	simple	couldn	change	heart	city	season	haven	anyone	mother	means	walk	face	bed	area	order	young	kitchen	amazing	thank	interesting	chocolate	fine	cheese	monday	loved	spring	town	anyway	table	above	mean	please	christmas	taste	become	inside	tonight	c	felt	feeling	butter	care	reason	talk	gone	fall	behind	eating	knew	heat	etc	gets	heard	seem	books	ask	worth	brought	lost	cake	although	group	five	across	playing	cook	busy	coffee	boy	chicken	perhaps	photo	amp	watching	paper	bread	country	oil	true	given	important	ice	music	ok	spend	st	bowl	nbsp	meal	movie	winter	salt	ground	number	known	door	sun	sister	including	style	extra	afternoon	word	god	cooking	dry	mix	milk	longer	cute	piece	words	dark	clean	wish	low	guy	air	experience	worked	huge	enjoyed	hear	write	sit	rain	works	blue	com	pick	quickly	move	box	wine	talking	bag	class	waiting	eyes	brown	plan	delicious	running	fruit	woman	news	eggs	near	tree	hands	baking	plus	office	garden	american	finished	pieces	company	drink	age	sitting	size	gift	sort	kept	cover	middle	e	note	sleep	wrong	photos	mine	game	added	lovely	child	wouldn	excited	dad	restaurant	street	pm	needs	miss	takes	except	state	cups	egg	ingredients	type	business	simply	hit	break	snow	flour	husband	drive	church	learn	future	parents	fast	says	minute	quick	sauce	due	park	oven	breakfast	forward	learned	moment	serve	certainly	following	completely	lives	recently	dish	matter	road	color	shopping	glass	moved	problem	seeing	b	center	wonder	sense	available	pepper	phone	met	salad	non	happened	whatever	leaves	pan	view	space	girls	deal	men	body	holiday	stand	seemed	song	bottom	art	history	picked	saying	mixture	super	understand	possible	p	form	shop	played	places	women	amount	giving	single	pay	site	french	rice	boys	process	below	bake	crazy	event	price	against	garlic	meet	watched	finish	starting	walking	main	recipes	tea	hold	funny	project	chance	market	served	six	writing	x	soup	juice
Wee Kitchen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
somewhere in time	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Sweet E's Kitchen	5	0	6	14	4	3	10	3	2	1	2	3	0	3	6	6	8	3	4	4	0	3	1	6	2	2	4	8	1	1	1	1	10	1	4	2	1	3	19	4	9	2	0	9	14	8	0	1	0	8	2	1	2	2	12	0	1	3	0	3	9	7	2	5	6	1	0	1	4	2	1	0	4	2	1	3	7	4	0	5	0	5	2	6	3	1	16	2	1	8	1	1	3	6	5	5	1	3	1	1	1	3	1	4	1	0	3	0	6	2	3	1	0	2	1	1	4	1	2	1	6	3	9	5	1	6	4	0	17	13	0	2	1	0	3	0	2	3	2	0	2	1	2	9	2	0	3	1	0	2	0	10	1	1	1	2	3	7	3	0	2	11	1	0	8	2	1	0	2	1	11	0	0	2	2	7	1	5	2	0	3	2	0	3	9	1	0	3	1	0	7	3	2	2	0	7	2	1	3	3	2	2	0	0	2	0	2	2	0	6	1	4	1	2	1	10	6	32	0	3	3	5	0	12	2	2	7	0	5	1	0	2	5	3	0	14	0	1	0	0	5	1	5	3	7	0	0	1	0	0	1	4	3	1	5	1	6	2	0	0	6	0	4	0	6	1	3	4	2	1	0	2	10	1	1	2	4	1	0	0	0	3	2	14	0	1	7	2	1	3	4	3	0	0	7	5	6	0	0	6	1	2	2	0	0	1	1	2	0	0	2	0	0	3	2	0	8	0	1	1	0	1	1	1	0	3	0	1	13	0	0	0	0	2	6	2	7	1	5	0	1	20	1	0	1	0	3	0	0	2	6	2	2	4	1	0	0	1	0	3	1	0	5	1	1	3	1	3	3	1	5	0	0	1	8	15	5	0	2	0	1	0	0	0	9	8	1	3	0	5	1	0	4	0	0	0	0	1	6	3	0	2	7	18	3	2	4	4	3	0	1	4	2	3	2	2	0	11	0	0	1	3	2	0	1	2	3	2	1	0	2	13	0	2	8	1	0	1	0	7	2	1	2	1	0	0	3	2	1	0	4	4	0	1	0	2	0	0	0	1	0	1	0	3	0	0	1	3	0	1	3	2	1	2	2	3	0	7	2	1	6	1	0	3	1	0	2	2	1	1	0	0	0	2	13	1	3	0	1	3
The Feldman Files	1	2	3	1	4	3	3	2	0	3	1	1	0	15	5	1	0	1	0	15	2	6	1	0	5	1	6	0	0	1	0	4	1	4	0	1	0	0	2	1	4	0	4	0	0	1	3	3	3	0	8	2	2	1	2	1	8	0	1	4	0	3	1	1	0	2	3	0	2	0	4	1	2	0	0	0	0	1	1	0	0	0	1	1	1	0	3	0	0	8	0	1	5	0	0	1	0	1	2	3	2	1	2	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	0	2	1	0	0	0	2	2	0	2	0	2	0	2	2	3	2	2	0	1	0	3	1	1	0	2	0	0	0	0	1	0	0	0	0	1	3	1	3	3	1	0	2	0	0	2	5	1	1	0	6	0	0	2	1	0	2	1	1	0	2	0	1	0	2	0	1	7	0	1	0	0	1	2	1	0	0	1	1	0	0	0	1	3	0	0	6	1	2	0	2	0	0	2	6	1	0	0	0	0	1	0	0	0	1	2	2	0	2	0	0	0	2	0	2	0	0	0	0	0	1	0	1	3	1	0	0	3	1	0	2	1	1	1	0	1	0	0	0	2	1	0	2	0	6	0	0	0	0	3	1	0	0	0	0	0	0	1	0	5	0	4	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	2	0	0	0	3	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	4	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	4	1	3	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	2	1	0	3	1	1	1	1	1	2	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	4	7	0	0	0	2	2	0	1	0	0	0	0	0	0	0
Noted	1	2	1	1	1	1	0	1	1	2	4	3	0	1	1	0	0	0	1	2	3	7	2	1	2	1	5	3	3	2	3	0	3	0	2	0	2	0	1	1	0	9	3	0	1	2	2	5	1	1	5	1	0	3	1	0	3	1	1	1	2	2	0	1	0	2	0	2	0	1	4	4	2	3	0	3	1	2	1	0	1	1	5	1	6	4	0	0	2	0	0	1	4	1	0	0	3	0	0	1	1	7	0	1	3	2	1	1	3	0	5	0	1	0	5	1	1	1	1	2	1	0	0	0	0	3	3	14	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	1	1	3	1	0	0	0	2	2	1	1	0	0	1	1	2	0	2	4	2	2	1	1	0	1	2	2	1	0	1	3	0	0	4	0	3	6	0	0	0	1	0	0	1	0	0	1	2	1	2	1	0	2	2	0	4	1	0	2	2	2	2	1	2	1	1	1	3	0	0	0	0	1	0	0	0	2	0	1	1	10	0	0	2	1	3	0	5	3	0	6	3	0	1	1	0	2	3	1	1	0	0	1	1	3	0	0	1	1	2	0	0	2	1	0	0	0	0	0	2	1	0	1	0	1	0	0	5	2	1	0	2	1	0	1	0	0	0	0	0	3	3	2	0	0	0	5	1	0	0	0	3	21	0	0	0	0	2	0	0	5	1	1	0	0	1	2	1	1	0	0	2	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	1	1	0	1	0	1	0	0	5	1	0	1	0	3	1	1	1	1	0	1	1	2	3	0	3	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	22	1	1	3	1	0	5	1	0	1	0	0	0	5	2	8	4	0	1	1	1	1	0	2	0	1	0	0	1	0	0	1	0	0	5	1	0	2	1	0	0	0	2	0	0	0	0	0	1	2	2	0	1	0	0	0	0	1	0	5	0	0	2	1	0	1	0	0	0	2	0	3	1	3	2	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	3	0	0	1	0
Notes from the Innkeeper	1	1	1	2	3	1	4	2	3	0	3	2	1	3	8	1	1	1	1	0	0	2	0	0	2	1	3	1	1	1	2	2	3	2	2	0	2	1	1	4	0	0	4	4	2	0	1	5	2	1	0	0	1	0	3	0	2	0	1	0	0	4	5	4	4	0	0	0	0	6	2	0	0	0	0	1	1	1	0	2	0	2	1	0	2	3	0	3	3	1	0	3	0	2	4	3	0	0	0	0	0	3	0	2	2	1	2	3	1	2	1	0	1	0	0	2	1	4	1	2	4	0	1	0	2	0	3	1	2	0	0	1	2	1	9	1	9	0	0	0	3	1	0	2	2	0	2	3	1	3	0	0	1	2	1	0	1	8	0	1	3	1	2	1	0	1	0	0	0	2	1	1	0	2	2	1	1	5	0	0	2	0	1	0	1	0	0	2	0	0	2	9	1	0	0	4	1	1	1	1	3	1	0	3	3	0	1	5	0	0	0	0	1	1	0	0	0	4	1	1	1	1	1	0	0	2	6	0	1	0	0	0	0	0	0	0	0	0	1	0	2	3	2	0	3	0	0	2	1	0	4	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	15	0	5	0	2	0	0	3	3	3	0	0	2	0	4	1	1	0	1	1	0	1	0	1	0	6	2	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	3	0	2	0	0	0	1	4	0	1	12	2	1	0	1	33	1	0	1	1	0	1	2	1	2	9	0	0	0	3	0	0	0	1	1	1	0	0	3	0	0	0	0	0	2	0	0	0	0	1	3	0	1	1	1	0	1	1	0	1	1	0	1	0	0	3	0	0	1	0	0	2	1	1	4	0	0	0	0	0	0	0	1	2	2	1	0	7	0	3	2	0	0	0	7	3	0	0	1	2	1	0	0	2	0	0	1	1	1	2	0	0	3	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	4	1	3	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	5	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	3	0	0	3
Blogston, Mass	0	1	3	2	1	0	1	1	2	3	0	0	2	0	0	2	2	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	3	3	1	0	8	1	4	1	0	2	3	3	1	0	1	0	1	1	4	0	0	0	0	0	2	0	0	0	1	3	0	0	0	3	4	3	4	0	1	2	0	3	0	1	2	0	0	1	0	0	6	2	2	1	2	1	0	0	0	2	0	1	1	0	3	0	1	3	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	1	0	6	4	0	0	0	0	0	1	0	0	1	0	1	1	0	0	4	1	0	0	0	1	1	0	1	1	3	2	0	0	1	0	0	0	0	0	2	0	4	0	1	1	2	2	0	1	2	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	2	1	0	0	1	0	0	3	0	0	1	0	0	2	0	0	4	2	0	0	6	0	2	0	1	0	1	0	0	3	1	0	0	1	0	3	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	2	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	3	0	1	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	1	1	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	4	1	2	0	0	0	0	1	0	2	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	2	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	4	0	0	0	1	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	2	2	0	0	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0
Whalen's Wacky & Wonderful World	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	3	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	2	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Nut-Free Mom Blog	1	2	3	1	6	5	7	2	2	4	5	4	4	8	1	3	1	4	7	2	23	3	4	7	3	2	7	1	8	4	7	2	2	0	2	3	7	1	1	7	1	2	3	1	2	2	31	4	4	1	2	4	2	1	1	2	1	7	1	0	11	1	2	53	0	5	1	0	5	6	3	0	1	2	2	2	3	1	0	3	1	5	0	1	0	0	1	0	2	13	4	0	0	0	0	0	7	7	0	0	2	3	3	7	2	1	0	1	1	0	2	0	2	2	3	1	1	2	3	0	1	0	0	0	10	0	3	1	1	0	17	4	4	3	1	4	3	1	4	1	1	1	0	4	0	4	1	0	8	0	2	2	0	5	4	5	1	7	0	0	1	8	2	0	5	0	4	0	0	3	2	0	1	2	3	4	11	3	2	4	2	2	5	1	0	0	1	4	1	4	4	4	0	2	1	1	2	2	1	1	2	1	7	2	2	2	4	0	1	5	6	7	1	8	0	2	0	1	0	0	2	0	0	19	2	6	7	0	0	4	0	0	0	5	0	17	2	0	4	1	2	1	9	0	0	5	3	6	1	1	7	1	5	0	7	0	2	0	3	2	2	7	1	1	0	0	1	11	1	0	3	4	0	3	2	3	2	4	5	0	0	0	0	1	1	1	0	0	1	2	0	0	0	6	0	1	0	0	0	0	0	1	6	1	0	3	1	0	2	2	3	1	2	4	1	0	0	8	1	7	0	1	1	1	0	3	4	1	0	5	2	7	0	0	0	4	1	1	0	1	0	5	3	3	3	10	1	2	0	5	0	0	0	0	2	1	0	0	2	0	0	0	3	2	0	2	0	0	1	0	0	28	4	3	1	16	1	0	3	6	2	1	0	0	5	1	2	1	0	2	1	0	0	4	0	0	2	5	14	0	3	1	0	0	3	0	0	0	1	4	2	2	3	1	3	1	7	0	6	0	0	0	0	3	2	0	1	0	4	0	5	0	1	0	0	7	0	3	0	0	2	1	4	1	0	1	5	0	1	5	1	0	0	0	1	0	0	0	2	0	0	0	0	4	0	1	3	2	0	4	0	1	0	1	0	4	2	1	0	1	0	3	1	0	1	0	0	6	0	0	2	0	0	1	1	0	1	0	0	0
Spear Stuff	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
The Sunny Raw Kitchen	4	14	0	26	22	33	7	12	11	15	13	18	2	8	6	21	13	21	4	3	7	23	10	2	8	6	2	23	7	10	25	7	0	28	20	9	15	5	10	5	11	10	4	26	7	6	2	18	13	5	10	12	11	5	31	6	8	3	12	3	29	23	2	17	18	10	4	0	9	6	16	3	21	14	6	20	76	23	3	29	5	7	5	6	3	5	17	11	5	0	19	16	13	9	105	4	8	13	2	2	0	3	11	7	9	3	6	26	12	0	10	5	6	13	12	7	21	10	12	12	3	0	9	16	9	6	27	8	17	61	1	1	15	7	5	4	12	6	3	195	1	5	6	19	4	11	3	23	5	5	5	95	2	2	14	17	2	3	0	9	2	5	6	8	6	4	6	1	5	11	74	0	2	13	4	7	20	14	6	5	1	5	4	15	8	2	7	12	1	2	13	10	8	11	2	30	14	7	2	0	10	10	1	3	2	9	1	4	1	11	10	34	10	1	5	69	13	33	0	3	18	0	9	5	5	11	4	1	49	11	4	0	36	11	5	19	7	7	26	4	4	5	25	8	2	2	2	3	5	2	3	4	1	1	15	17	0	1	2	4	2	3	7	4	1	9	10	28	2	6	62	0	77	5	6	5	8	0	5	2	0	25	86	23	0	12	63	14	4	7	2	29	4	14	4	5	3	0	2	4	15	17	13	11	0	11	4	3	2	1	5	4	10	8	2	4	8	1	1	7	0	10	0	3	5	13	6	1	0	5	4	4	3	3	5	2	32	1	12	0	3	0	1	1	7	2	7	1	5	1	8	20	3	1	1	1	4	0	8	3	3	3	6	8	1	3	8	6	0	8	2	0	7	5	3	0	0	0	4	0	3	7	1	60	6	59	7	1	15	5	5	3	7	2	1	0	4	2	0	6	9	3	7	56	2	0	4	4	2	8	4	19	3	9	9	3	9	4	3	1	5	2	6	0	2	3	1	3	3	3	7	17	2	0	70	5	2	11	15	23	3	0	1	2	1	16	8	1	1	0	14	13	1	3	5	37	4	1	9	2	25	0	3	0	0	4	3	4	2	6	3	11	0	32	2	0	1	1	3	2	65	5	0	3	8	1	8	72	0	6	1	0	2	1	8	1	2	1	43	60
Coffee with the Hermit	2	3	1	1	1	8	6	7	1	4	2	0	5	1	1	8	0	1	7	0	0	1	3	1	2	3	1	0	4	1	0	1	0	3	1	2	1	0	0	3	0	0	2	0	1	0	1	4	2	2	4	4	2	0	4	2	1	1	5	1	1	4	0	3	2	5	5	6	1	5	1	0	0	0	13	3	0	0	1	1	1	2	4	0	0	0	0	3	2	5	0	3	0	0	0	1	0	2	0	1	2	0	1	2	1	3	4	0	0	4	3	3	1	0	6	0	3	2	0	0	1	3	0	0	1	2	4	3	3	11	5	0	0	3	2	2	0	2	0	12	4	5	0	0	0	0	0	1	0	2	5	2	0	2	1	1	2	0	0	0	1	0	1	1	3	6	1	0	1	1	0	7	0	2	0	1	2	2	2	0	0	0	2	4	3	0	2	2	0	0	0	1	0	2	2	1	3	5	0	4	4	1	3	4	3	0	0	1	0	0	0	2	1	1	1	0	0	0	4	0	1	0	2	0	0	3	0	5	1	0	0	1	1	0	0	2	2	4	1	2	2	2	2	0	0	0	2	1	8	4	5	2	0	0	0	0	1	0	2	1	0	1	40	0	0	0	0	0	3	2	1	4	0	2	0	0	0	6	2	2	0	0	0	0	0	2	0	0	0	0	2	1	2	0	0	3	2	0	2	0	0	0	1	0	1	0	1	1	0	3	0	1	0	0	1	0	0	0	0	2	9	1	1	2	0	1	4	0	0	1	0	1	0	3	0	2	0	1	0	0	0	0	0	2	0	2	0	0	1	0	1	0	0	1	2	2	0	0	3	0	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	3	0	1	2	1	1	1	6	0	0	2	3	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	2	1	0	0	0	0	3	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	2	4	0	0	0	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	2	1	0	0	0	1	0	0	2	0	3	2	0	0	2	0	2	0	2	0	0	2	2	0	1	0	0	0	0	0	0	0
